"","spc_common","boroname","numtrees","avghealth"
"1","Chinese chestnut","Brooklyn",54,1.92592592592593
"2","American hornbeam","Brooklyn",343,1.73469387755102
"3","Japanese tree lilac","Brooklyn",1005,1.6547263681592
"4","serviceberry","Brooklyn",363,1.66115702479339
"5","honeylocust","Brooklyn",16921,1.82548312747474
"6","Norway maple","Brooklyn",6989,1.47746458720847
"7","ginkgo","Brooklyn",5595,1.81411974977658
"8","black oak","Brooklyn",441,1.78004535147392
"9",NA,"Brooklyn",7549,NA
"10","Sophora","Brooklyn",5989,1.81649691100351
"11","littleleaf linden","Brooklyn",8903,1.74188475794676
"12","mulberry","Brooklyn",206,1.72815533980582
"13","pin oak","Brooklyn",12343,1.82937697480354
"14","Callery pear","Brooklyn",9081,1.83614139411959
"15","London planetree","Brooklyn",34886,1.81978444074987
"16","silver linden","Brooklyn",2373,1.76654024441635
"17","American hophornbeam","Brooklyn",366,1.68579234972678
"18","sycamore maple","Brooklyn",544,1.62683823529412
"19","Japanese zelkova","Brooklyn",9659,1.84977740966974
"20","northern red oak","Brooklyn",2468,1.76053484602917
"21","American linden","Brooklyn",4023,1.74297787720606
"22","sweetgum","Brooklyn",2027,1.82831771090281
"23","green ash","Brooklyn",3808,1.79674369747899
"24","sugar maple","Brooklyn",603,1.54063018242123
"25","Schumard's oak","Brooklyn",582,1.75257731958763
"26","cherry","Brooklyn",5706,1.76691202243253
"27","black locust","Brooklyn",441,1.75736961451247
"28","eastern redcedar","Brooklyn",290,1.82758620689655
"29","Chinese elm","Brooklyn",1593,1.81230382925298
"30","Kentucky yellowwood","Brooklyn",124,1.54032258064516
"31","'Schubert' chokecherry","Brooklyn",1308,1.68730886850153
"32","Amur cork tree","Brooklyn",46,1.58695652173913
"33","European hornbeam","Brooklyn",494,1.62145748987854
"34","white oak","Brooklyn",503,1.78330019880716
"35","golden raintree","Brooklyn",941,1.79596174282678
"36","silver maple","Brooklyn",1375,1.74836363636364
"37","Kentucky coffeetree","Brooklyn",1176,1.82057823129252
"38","river birch","Brooklyn",116,1.86206896551724
"39","black walnut","Brooklyn",82,1.86585365853659
"40","paper birch","Brooklyn",134,1.75373134328358
"41","Amur maackia","Brooklyn",729,1.72839506172839
"42","holly","Brooklyn",35,1.8
"43","crab apple","Brooklyn",626,1.78434504792332
"44","sawtooth oak","Brooklyn",785,1.80891719745223
"45","swamp white oak","Brooklyn",2714,1.78666175386883
"46","willow oak","Brooklyn",802,1.78428927680798
"47","silver birch","Brooklyn",114,1.71929824561403
"48","hardy rubber tree","Brooklyn",377,1.80371352785146
"49","Siberian elm","Brooklyn",507,1.69428007889546
"50","red maple","Brooklyn",2384,1.67281879194631
"51","white ash","Brooklyn",342,1.72222222222222
"52","purple-leaf plum","Brooklyn",1198,1.68864774624374
"53","crimson king maple","Brooklyn",999,1.55555555555555
"54","mimosa","Brooklyn",85,1.72941176470588
"55","Amur maple","Brooklyn",263,1.67680608365019
"56","American elm","Brooklyn",2587,1.75840742172401
"57","hedge maple","Brooklyn",578,1.75778546712803
"58","horse chestnut","Brooklyn",223,1.53363228699552
"59","catalpa","Brooklyn",73,1.67123287671233
"60","eastern redbud","Brooklyn",796,1.62562814070352
"61","boxelder","Brooklyn",14,1.57142857142857
"62","paperbark maple","Brooklyn",59,1.61016949152542
"63","katsura tree","Brooklyn",265,1.48301886792453
"64","scarlet oak","Brooklyn",720,1.60972222222222
"65","cucumber magnolia","Brooklyn",48,1.79166666666667
"66","English oak","Brooklyn",559,1.83184257602862
"67","maple","Brooklyn",445,1.66067415730337
"68","flowering dogwood","Brooklyn",360,1.69166666666667
"69","dawn redwood","Brooklyn",1130,1.72035398230088
"70","Ohio buckeye","Brooklyn",21,1.52380952380952
"71","empress tree","Brooklyn",36,1.55555555555556
"72","hawthorn","Brooklyn",593,1.59865092748735
"73","common hackberry","Brooklyn",603,1.71807628524046
"74","ash","Brooklyn",369,1.76693766937669
"75","two-winged silverbell","Brooklyn",57,1.63157894736842
"76","cockspur hawthorn","Brooklyn",72,1.77777777777778
"77","bald cypress","Brooklyn",645,1.74573643410853
"78","tulip-poplar","Brooklyn",275,1.58909090909091
"79","Atlantic white cedar","Brooklyn",95,1.76842105263158
"80","arborvitae","Brooklyn",68,1.91176470588235
"81","Japanese maple","Brooklyn",114,1.64912280701754
"82","tree of heaven","Brooklyn",235,1.5063829787234
"83","black cherry","Brooklyn",152,1.77631578947368
"84","Persian ironwood","Brooklyn",67,1.76119402985075
"85","magnolia","Brooklyn",83,1.66265060240964
"86","Japanese snowbell","Brooklyn",88,1.54545454545455
"87","Chinese tree lilac","Brooklyn",91,1.69230769230769
"88","Chinese fringetree","Brooklyn",53,1.73584905660377
"89","trident maple","Brooklyn",12,1.83333333333333
"90","tartar maple","Brooklyn",16,1.625
"91","Norway spruce","Brooklyn",67,1.71641791044776
"92","Japanese hornbeam","Brooklyn",149,1.65771812080537
"93","shingle oak","Brooklyn",277,1.74729241877256
"94","sassafras","Brooklyn",41,1.80487804878049
"95","Turkish hazelnut","Brooklyn",93,1.56989247311828
"96","bur oak","Brooklyn",158,1.70886075949367
"97","kousa dogwood","Brooklyn",72,1.79166666666667
"98","Cornelian cherry","Brooklyn",251,1.66533864541833
"99","false cypress","Brooklyn",35,1.85714285714286
"100","blackgum","Brooklyn",123,1.70731707317073
"101","pond cypress","Brooklyn",102,1.43137254901961
"102","white pine","Brooklyn",37,1.62162162162162
"103","spruce","Brooklyn",32,1.6875
"104","pine","Brooklyn",45,1.73333333333333
"105","blue spruce","Brooklyn",19,1.73684210526316
"106","Himalayan cedar","Brooklyn",14,1.78571428571429
"107","quaking aspen","Brooklyn",21,1.76190476190476
"108","pignut hickory","Brooklyn",16,1.8125
"109","Oklahoma redbud","Brooklyn",51,1.84313725490196
"110","bigtooth aspen","Brooklyn",23,1.65217391304348
"111","eastern hemlock","Brooklyn",33,1.6969696969697
"112","weeping willow","Brooklyn",55,1.74545454545454
"113","Douglas-fir","Brooklyn",30,1.9
"114","pagoda dogwood","Brooklyn",80,1.7375
"115","American beech","Brooklyn",83,1.63855421686747
"116","American larch","Brooklyn",8,2
"117","southern red oak","Brooklyn",20,1.9
"118","European beech","Brooklyn",42,1.69047619047619
"119","European alder","Brooklyn",10,1.8
"120","black maple","Brooklyn",31,1.67741935483871
"121","crepe myrtle","Brooklyn",65,1.81538461538462
"122","red horse chestnut","Brooklyn",21,1.38095238095238
"123","smoketree","Brooklyn",10,1.9
"124","Atlas cedar","Brooklyn",34,1.85294117647059
"125","eastern cottonwood","Brooklyn",40,1.5
"126","red pine","Brooklyn",26,1.92307692307692
"127","southern magnolia","Brooklyn",27,1.7037037037037
"128","Osage-orange","Brooklyn",8,2
"129","Virginia pine","Brooklyn",3,1.33333333333333
"130","black pine","Brooklyn",5,1.6
"131","pitch pine","Brooklyn",9,2
"132","Shantung maple","Brooklyn",12,1.75
"133","Scots pine","Brooklyn",3,1.66666666666667
"134","London planetree","Queens",31111,1.84008871460255
"135","cherry","Queens",13497,1.82714677335704
"136","mulberry","Queens",581,1.71600688468158
"137","pin oak","Queens",22610,1.84024767801857
"138","littleleaf linden","Queens",11902,1.79179969752983
"139","green ash","Queens",7389,1.81012315604277
"140","Callery pear","Queens",16547,1.80358977458149
"141","Japanese zelkova","Queens",8987,1.87837988205186
"142","Sophora","Queens",5386,1.77849981433346
"143","eastern redbud","Queens",1358,1.72164948453608
"144","Norway maple","Queens",19407,1.46596588859691
"145","Sophora","Bronx",2555,1.81174168297456
"146","Callery pear","Bronx",4947,1.85567010309278
"147","honeylocust","Bronx",9691,1.86760912186565
"148","London planetree","Bronx",7511,1.80734922114232
"149","American elm","Bronx",1471,1.7675050985724
"150",NA,"Bronx",4619,2
"151","pin oak","Bronx",6445,1.85120248254461
"152","Japanese zelkova","Bronx",4638,1.82578697714532
"153","littleleaf linden","Bronx",3917,1.74087311718152
"154","ginkgo","Bronx",2685,1.79143389199255
"155","Chinese elm","Bronx",1321,1.82134746404239
"156","hawthorn","Bronx",472,1.75423728813559
